"Translation key","en_UK","da_DK"
"heading","Public search","Offentlig søgning"
"searchInputPlaceholder","Search","Søg"
"searchButtonText","Search","Søg"
"interestsTabLabel","Interests","Interesser"
"clearButtonText","Clear","Ryd"
"applyButtonText","Apply","Anvend"
"sortByTabLabel","Sort By","Sorter efter"
"zeroResults","Your search did not return any results. Try removing search terms and/or filters to see more.","Din søgning gav ingen resultater. Prøv at fjerne søgetermer og/eller filtre for at se mere."
